Learning language,Translation
I will go,pójdę
I will come,przyjdę
I will work,będę pracować
I will study,będę się uczyć
I will see,zobaczę
I will hear,usłyszę
I will speak,będę mówić
I will eat,zjem
I will drink,wypiję
I will write,napiszę
I will read,przeczytam
I will think,pomyślę
I will know,będę wiedzieć
I will understand,zrozumiem
I will remember,zapamiętam
I will forget,zapomnę
I will love,będę kochać
I will hate,będę nienawidzić
I will buy,kupię
I will sell,sprzedam
I will open,otworzę
I will close,zamknę
I will start,zacznę
I will finish,skończę
I will travel,będę podróżować
I will return,wrócę
I will stay,zostanę
I will help,pomogę
I will ask,zapytam
I will receive,otrzymam
I will give,dam
I will try,spróbuję
I will wait,poczekam
I will choose,wybiorę
I will search,poszukam
