Learning language,Translation
לאכול,to eat
לשתות,to drink
ללכת,to go
לבוא,to come
לעשות,to do
לראות,to see
לשמוע,to hear
לדבר,to speak
לקרוא,to read
לכתוב,to write
ללמוד,to learn
ללמד,to teach
לעבוד,to work
לשחק,to play
לחשוב,to think
לדעת,to know
להבין,to understand
לזכור,to remember
לשכוח,to forget
לאהוב,to love
לשנוא,to hate
לקנות,to buy
למכור,to sell
לפתוח,to open
לסגור,to close
להתחיל,to start
לסיים,to finish
לנסוע,to travel
לחזור,to return
להישאר,to stay
לעזור,to help
לבקש,to ask
לקבל,to receive
לתת,to give
לנסות,to try
