Learning language,Translation
אני אלך,سَأَذْهَبُ
אני אבוא,سَآتِي
אני אעבוד,سَأَعْمَلُ
אני אלמד,سَأَتَعَلَّمُ
אני אראה,سَأَرَى
אני אשמע,سَأَسْمَعُ
אני אדבר,سَأَتَكَلَّمُ
אני אוכל,سَآكُلُ
אני אשתה,سَأَشْرَبُ
אני אכתוב,سَأَكْتُبُ
אני אקרא,سَأَقْرَأُ
אני אחשוב,سَأُفَكِّرُ
אני אדע,سَأَعْرِفُ
אני אבין,سَأَفْهَمُ
אני אזכור,سَأَتَذَكَّرُ
אני אשכח,سَأَنْسَى
אני אוהב,سَأُحِبُّ
אני אשנא,سَأَكْرَهُ
אני אקנה,سَأَشْتَرِي
אני אמכור,سَأَبِيعُ
אני אפתח,سَأَفْتَحُ
אני אסגור,سَأُغْلِقُ
אני אתחיל,سَأَبْدَأُ
אני אסיים,سَأُنْهِي
אני אסע,سَأُسَافِرُ
אני אחזור,سَأَعُودُ
אני אשאר,سَأَبْقَى
אני אעזור,سَأُسَاعِدُ
אני אבקש,سَأَطْلُبُ
אני אקבל,سَأَتَلَقَّى
אני אתן,سَأُعْطِي
אני אנסה,سَأُحَاوِلُ
אני אחכה,سَأَنْتَظِرُ
אני אבחר,سَأَخْتَارُ
אני אחפש,سَأَبْحَثُ
