לָעָזוב או לא לָעָזוב,To leave or not to leave
נִמאָס לי אני עוזב אֶת האָרֶץ,I’m fed up. I’m leaving the country.
כל חודשָיים אתה מָחליט לָעָבור יָבֶּשֶת,Every two months you decide to move to another continent
בפָּעָם הקודֶמֶת זה היה ניו-זילנד,Last time it was New Zealand
אירופה מֶסוּדֶרֶת אבל גם שם לא הכול וָרוד,Europe is organized  But not everything is rosy there either
אתה תִתגָעָגֶעָ לפלאפל ישראלי אָחרֶי יומָיים,You’ll miss Israeli falafel after two days
לֶפָחות השׂכירוּת לא "קורָעָת אֶת הכּיס",At least the rent doesn’t “tear your pocket”
אנשים לא עוקפים בָּתור,People don’t cut in line.
איך תִסתָדֶר בּלי זה,How will you manage without it
זו אומָנוּת ישראלית מָסורתית,It’s a traditional Israeli art
בחורף אתה מרגיש כמו תפוח אדמה במָרתֶף,In winter you feel like a potato in the basement
אָנִי כּול הַזמַן רודֶף אָחרֶי הזָנָב שֶל עָצמי,I’m constantly chasing my own tail
גַם אָנִי חָשַבתִי כָּכָה כּשֶגַרתִי בּיִשׂרָאֶל,I thought the same when I lived in Israel
אַחָרֶי כָּמָה זמַן בּחוּ"ל מָתחִילִים להִתגָעָגֶעAfter some time abroad, you start to miss
אָנָשִים מִתעָרבים לךָ בַּחַיִים וזֶה יָכול להָציק,People interfere in your life and that can be annoying
תַחשוב עַל הַיֶלָדִים שיִהִיוּ לךָ,Think about the children you’ll have
אֶיזֶה עָתִיד יֶש לָהֶם בּיִשׂרָאֶל עִם הַמִלחָמות,What future do they have in Israel with the wars
עָתִיד טוב או לא טוב יָכול לִהִיות בּכול מָקום,A good or bad future can be anywhere
הם יִגדֶלוּ עִם עִברִית,They’ll grow up with Hebrew 
סָבתָא שֶמָכינָה אוכֶל בֶּיתי אָמיתי,A grandmother who makes real homemade food
