Learning language,Translation
אני לא מבין,أَنَا لَا أَفْهَمُ
זה לא עובד,هٰذَا لَا يَعْمَلُ
אין לי זמן,لَيْسَ عِنْدِي وَقْت
אני צריך עזרה,أَحْتَاجُ إِلَى مُسَاعَدَة
איפה זה נמצא,أَيْنَ هُوَ
כמה זה עולה,كَمْ سِعْرُهُ
אני מסכים,أَنَا أُوَافِقُ
אני לא מסכים,أَنَا لَا أُوَافِقُ
זה חשוב לי,هٰذَا مُهِمّ لِي
אין בעיה,لَا مُشْكِلَة
אני עייף,أَنَا مُتْعَب
אני רעב,أَنَا جَائِع
אני צמא,أَنَا عَطْشَان
אני ממהר,أَنَا مُسْتَعْجِل
אני מאחר,أَنَا مُتَأَخِّر
אני מוקדם,أَنَا مُبَكِّر
זה ברור לי,هٰذَا وَاضِح لِي
זה לא ברור לי,هٰذَا غَيْرُ وَاضِح لِي
אני זוכר,أَنَا أَتَذَكَّرُ
אני לא זוכר,أَنَا لَا أَتَذَكَّرُ
אני מחכה לך,أَنَا أَنْتَظِرُكَ
אני חוזר מחר,سَأَعُودُ غَدًا
אני צריך לחשוב,أَحْتَاجُ أَنْ أُفَكِّرَ
תן לי רגע,أَعْطِنِي لَحْظَة
אפשר לעזור לך,هَلْ أَسْتَطِيعُ مُسَاعَدَتَكَ
תסביר שוב,اِشْرَحْ مَرَّةً أُخْرَى
זה בסדר,لَا بَأْسَ
זה לא בסדר,هٰذَا غَيْرُ مَقْبُول
אני מבין עכשיו,أَنَا أَفْهَمُ الْآنَ
אין לי מושג,لَا فِكْرَةَ لَدَيَّ
אני בטוח,أَنَا مُتَأَكِّد
אני לא בטוח,أَنَا غَيْرُ مُتَأَكِّد
זה תלוי,هٰذَا يَعْتَمِدُ
בוא נתחיל,دَعْنَا نَبْدَأْ
נסיים אחר כך,سَنُنْهِي لَاحِقًا
