זֶה לא עובֶד,It doesn't work
אֶין לי זמָן,I have no time
אני צָריך\צריכָה עֶזרָה,I need help
אֶיפה זֶה נִמצָא,Where is it
כָּמָה זֶה עולֶה,How much is it
אני מָסכּים\מָסכּימָה,I agree
זֶה חָשוּב לי,It's important to me
אֶין בֶּעָיָה,No problem
אני עָיֶיף\עָיֶיפָה,I am tired
אני רָעֶב\רעֶבָה,I am hungry
אני צָמֶא\צמֶאָה,I am thirsty
אני ממָהֶר\ממָהֶרֶת,I am in a hurry
אני מאָחֶר\מאָחֶרֶת,I am late
בָּאתי מוּקדָם,I came early
זה בָּרוּר לי,It's clear to me
אני זוכֶר\זוכֶרֶת,I remember
אני מחָכֶּה\מחָכָּה לך,I am waiting for you
אני אָחזור מָחָר,I will return tomorrow
אני צָריך\צריכָה לָחשוב,I need to think
תֶן לי רֶגָע,Give me a moment
אֶפשָר לָעָזור לך,Can I help you
תסביר לי שוּב,Explain again
זה בסדר,It's okay
אני מבין\מבינָה עכשיו,I understand now
אין לי מוּשָׂג,I have no idea
אני בּטוּח\בּטוּחָה,I'm sure
זה תָלוּי,It depends
בּוא נָתחיל,Let's start
נסֶיָים אָחָר כָּך,We'll finish later
