Learning language,Translation
אני אלך,I will go
אני אבוא,I will come
אני אעבוד,I will work
אני אלמד,I will study
אני אראה,I will see
אני אשמע,I will hear
אני אדבר,I will speak
אני אוכל,I will eat
אני אשתה,I will drink
אני אכתוב,I will write
אני אקרא,I will read
אני אחשוב,I will think
אני אדע,I will know
אני אבין,I will understand
אני אזכור,I will remember
אני אשכח,I will forget
אני אוהב,I will love
אני אשנא,I will hate
אני אקנה,I will buy
אני אמכור,I will sell
אני אפתח,I will open
אני אסגור,I will close
אני אתחיל,I will start
אני אסיים,I will finish
אני אסע,I will travel
אני אחזור,I will return
אני אשאר,I will stay
אני אעזור,I will help
אני אבקש,I will ask
אני אקבל,I will receive
אני אתן,I will give
אני אנסה,I will try
אני אחכה,I will wait
אני אבחר,I will choose
אני אחפש,I will search
