Learning language,Translation
אני לא מבין,I don't understand
זה לא עובד,It doesn't work
אין לי זמן,I have no time
אני צריך עזרה,I need help
איפה זה נמצא,Where is it
כמה זה עולה,How much is it
אני מסכים,I agree
אני לא מסכים,I disagree
זה חשוב לי,It's important to me
אין בעיה,No problem
אני עייף,I am tired
אני רעב,I am hungry
אני צמא,I am thirsty
אני ממהר,I am in a hurry
אני מאחר,I am late
אני מוקדם,I am early
זה ברור לי,It's clear to me
זה לא ברור לי,It's not clear to me
אני זוכר,I remember
אני לא זוכר,I don't remember
אני מחכה לך,I am waiting for you
אני חוזר מחר,I will return tomorrow
אני צריך לחשוב,I need to think
תן לי רגע,Give me a moment
אפשר לעזור לך,Can I help you
תסביר שוב,Explain again
זה בסדר,It's okay
זה לא בסדר,It's not okay
אני מבין עכשיו,I understand now
אין לי מושג,I have no idea
אני בטוח,I'm sure
אני לא בטוח,I'm not sure
זה תלוי,It depends
בוא נתחיל,Let's start
נסיים אחר כך,We'll finish later
