Learning language,Translation
אני הולך,I go
אני בא,I come
אני עובד,I work
אני לומד,I study
אני רואה,I see
אני שומע,I hear
אני מדבר,I speak
אני אוכל,I eat
אני שותה,I drink
אני כותב,I write
אני קורא,I read
אני חושב,I think
אני יודע,I know
אני מבין,I understand
אני זוכר,I remember
אני שוכח,I forget
אני אוהב,I love
אני שונא,I hate
אני קונה,I buy
אני מוכר,I sell
אני פותח,I open
אני סוגר,I close
אני מתחיל,I start
אני מסיים,I finish
אני נוסע,I travel
אני חוזר,I return
אני נשאר,I stay
אני עוזר,I help
אני מבקש,I ask
אני מקבל,I receive
אני נותן,I give
אני מנסה,I try
אני מחכה,I wait
אני בוחר,I choose
אני מחפש,I search
