Learning language,Translation
I go,idę
I come,przychodzę
I work,pracuję
I study,uczę się
I see,widzę
I hear,słyszę
I speak,mówię
I eat,jem
I drink,piję
I write,piszę
I read,czytam
I think,myślę
I know,wiem
I understand,rozumiem
I remember,pamiętam
I forget,zapominam
I love,kocham
I hate,nienawidzę
I buy,kupuję
I sell,sprzedaję
I open,otwieram
I close,zamykam
I start,zaczynam
I finish,kończę
I travel,podróżuję
I return,wracam
I stay,zostaję
I help,pomagam
I ask,pytam
I receive,otrzymuję
I give,daję
I try,próbuję
I wait,czekam
I choose,wybieram
I search,szukam
