Learning language,Translation
to eat,jeść
to drink,pić
to go,iść
to come,przyjść
to do,robić
to see,widzieć
to hear,słyszeć
to speak,mówić
to read,czytać
to write,pisać
to learn,uczyć się
to teach,uczyć
to work,pracować
to play,bawić się
to think,myśleć
to know,wiedzieć
to understand,rozumieć
to remember,pamiętać
to forget,zapominać
to love,kochać
to hate,nienawidzić
to buy,kupić
to sell,sprzedać
to open,otworzyć
to close,zamknąć
to start,zacząć
to finish,skończyć
to travel,podróżować
to return,wrócić
to stay,zostać
to help,pomagać
to ask,pytać
to receive,otrzymać
to give,dać
to try,próbować
