Learning language,Translation
אני הולך,أَنَا أَذْهَبُ
אני בא,أَنَا آتِي
אני עובד,أَنَا أَعْمَلُ
אני לומד,أَنَا أَتَعَلَّمُ
אני רואה,أَنَا أَرَى
אני שומע,أَنَا أَسْمَعُ
אני מדבר,أَنَا أَتَكَلَّمُ
אני אוכל,أَنَا آكُلُ
אני שותה,أَنَا أَشْرَبُ
אני כותב,أَنَا أَكْتُبُ
אני קורא,أَنَا أَقْرَأُ
אני חושב,أَنَا أُفَكِّرُ
אני יודע,أَنَا أَعْرِفُ
אני מבין,أَنَا أَفْهَمُ
אני זוכר,أَنَا أَتَذَكَّرُ
אני שוכח,أَنَا أَنْسَى
אני אוהב,أَنَا أُحِبُّ
אני שונא,أَنَا أَكْرَهُ
אני קונה,أَنَا أَشْتَرِي
אני מוכר,أَنَا أَبِيعُ
אני פותח,أَنَا أَفْتَحُ
אני סוגר,أَنَا أُغْلِقُ
אני מתחיל,أَنَا أَبْدَأُ
אני מסיים,أَنَا أُنْهِي
אני נוסע,أَنَا أُسَافِرُ
אני חוזר,أَنَا أَعُودُ
אני נשאר,أَنَا أَبْقَى
אני עוזר,أَنَا أُسَاعِدُ
אני מבקש,أَنَا أَطْلُبُ
אני מקבל,أَنَا أَتَلَقَّى
אני נותן,أَنَا أُعْطِي
אני מנסה,أَنَا أُحَاوِلُ
אני מחכה,أَنَا أَنْتَظِرُ
אני בוחר,أَنَا أَخْتَارُ
אני מחפש,أَنَا أَبْحَثُ
